# x, f(x)
7.255587016375941722e-02 7.540632126368378430e-01
1.571776983570661590e-01 4.090252916529387717e-01
2.804204372031784964e-01 5.612641085307168431e-02
3.170292532199756041e-01 3.103592041304703564e-02
5.290434670453142418e-01 9.100669995587664651e-01
6.949700981001103450e-01 2.572682804201221085e+00
1.035585462539200474e+00 4.628838656811024244e+00
1.243949087928952979e+00 2.932165898482860023e+00
1.263044087973157037e+00 2.676121409971704779e+00
1.341789411253057951e+00 1.521864596904844769e+00
1.499588642061218335e+00 -8.490581255183878850e-01
1.697133750754988624e+00 -2.738312573397297278e+00
1.722623480862987444e+00 -2.841806290166476678e+00
1.908723572336495033e+00 -2.664286847044082585e+00
2.057287902228492449e+00 -1.816384963854801304e+00
2.304123033276805899e+00 -9.837481583718941103e-01
2.419967703261218350e+00 -1.303435366210488722e+00
2.518665130952183251e+00 -1.890053533474973513e+00
2.528019791362166035e+00 -1.954895147723932913e+00
3.035212873871502293e+00 -2.373765284742135329e+00
